DATAUNIT 7000 bytes | 59793 bytes sent over 0.344ms | 173.817 Mbytes/s.

DATAUNIT 7500 bytes | 59793 bytes sent over 0.273ms | 219.022 Mbytes/s.
DATAUNIT 7500 bytes | 59793 bytes sent over 0.264ms | 226.489 Mbytes/s.
DATAUNIT 7500 bytes | 59793 bytes sent over 0.296ms | 202.003 Mbytes/s.
DATAUNIT 7500 bytes | 59793 bytes sent over 0.310ms | 192.881 Mbytes/s.
DATAUNIT 7500 bytes | 59793 bytes sent over 0.280ms | 213.546 Mbytes/s.

DATAUNIT 8000 bytes | 59793 bytes sent over 0.330ms | 181.191 Mbytes/s.
DATAUNIT 8000 bytes | 59793 bytes sent over 0.276ms | 216.641 Mbytes/s.
DATAUNIT 8000 bytes | 59793 bytes sent over 0.318ms | 188.028 Mbytes/s.
DATAUNIT 8000 bytes | 59793 bytes sent over 0.291ms | 205.474 Mbytes/s.
DATAUNIT 8000 bytes | 59793 bytes sent over 0.313ms | 191.032 Mbytes/s.

DATAUNIT 8500 bytes | 59793 bytes sent over 0.289ms | 206.896 Mbytes/s.
DATAUNIT 8500 bytes | 59793 bytes sent over 0.304ms | 196.688 Mbytes/s.
DATAUNIT 8500 bytes | 59793 bytes sent over 0.291ms | 205.474 Mbytes/s.
DATAUNIT 8500 bytes | 59793 bytes sent over 0.301ms | 198.648 Mbytes/s.
DATAUNIT 8500 bytes | 59793 bytes sent over 0.323ms | 185.118 Mbytes/s.

DATAUNIT 9000 bytes | 59793 bytes sent over 0.274ms | 218.223 Mbytes/s.
DATAUNIT 9000 bytes | 59793 bytes sent over 0.284ms | 210.539 Mbytes/s.
DATAUNIT 9000 bytes | 59793 bytes sent over 0.311ms | 192.260 Mbytes/s.
DATAUNIT 9000 bytes | 59793 bytes sent over 0.318ms | 188.028 Mbytes/s.
DATAUNIT 9000 bytes | 59793 bytes sent over 0.308ms | 194.133 Mbytes/s.

DATAUNIT 9216 bytes | 59793 bytes sent over 0.275ms | 217.429 Mbytes/s.
DATAUNIT 9216 bytes | 59793 bytes sent over 0.308ms | 194.133 Mbytes/s.
DATAUNIT 9216 bytes | 59793 bytes sent over 0.273ms | 219.022 Mbytes/s.
DATAUNIT 9216 bytes | 59793 bytes sent over 0.262ms | 228.218 Mbytes/s.
DATAUNIT 9216 bytes | 59793 bytes sent over 0.303ms | 197.337 Mbytes/s.

DATAUNIT 9217 bytes |     0 bytes sent over 0.000ms | 000.000 Mbytes/s.
DATAUNIT 9217 bytes |     0 bytes sent over 0.000ms | 000.000 Mbytes/s.
DATAUNIT 9217 bytes |     0 bytes sent over 0.000ms | 000.000 Mbytes/s.
DATAUNIT 9217 bytes |     0 bytes sent over 0.000ms | 000.000 Mbytes/s.
DATAUNIT 9217 bytes |     0 bytes sent over 0.000ms | 000.000 Mbytes/s.
